geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
bih,Bosnia and Herzegovina,10.46706,10.29606,10.06667,9.79781,9.45593,8.96564,8.57728,8.07672,7.74512,7.55929,7.04896,6.76291,6.49391,6.21751,5.9811,5.73369,4.36441,5.4097,6.75486,5.66896,5.24747,4.66848,4.69442,3.97606,3.54611,3.33146,3.94382,3.73301,3.02045,2.62776,2.20458,1.9252,1.43807
blr,Belarus,0.07693,0.07562,0.07689,0.07613,0.07476,0.07357,0.07167,0.06979,0.06693,0.06413,0.06179,0.05885,0.05564,0.0518,0.04876,0.04568,0.04283,0.03949,0.03782,0.03579,0.03341,0.03185,0.03109,0.03047,0.03002,0.0297,0.02998,0.03356,0.03021,0.05204,0.02075,0.01616,0.01675
blz,Belize,4.65475,4.42802,4.28443,4.09983,3.88198,4.04216,4.02807,4.02732,3.95076,3.9608,3.92325,3.90683,3.89063,3.93712,3.93035,3.96458,3.98999,3.97621,4.03394,3.99921,3.99809,3.89985,3.88506,2.75003,4.27881,4.01817,3.29268,4.07403,4.93819,4.87414,4.62015,4.54424,4.44704
bol,Bolivia,21.55269,21.55668,21.55523,21.55617,21.57173,21.43415,21.40818,21.39668,21.42487,20.11169,23.18263,22.7377,23.58204,18.51433,20.1098,21.09928,18.854,19.28946,17.73159,18.05283,18.34589,14.41945,15.68326,17.7198,14.44571,15.42547,17.37719,18.66355,17.19172,17.33635,18.6807,16.60145,16.15234
bra,Brazil,7.2722,7.69551,7.83061,7.69026,7.68918,6.86002,6.96059,6.707,7.20723,6.46272,5.86762,5.83556,5.74191,5.74611,5.56324,4.9475,4.7613,3.96476,3.76766,3.19425,2.69903,2.93684,2.89048,2.67599,2.6509,2.21296,2.29561,2.24779,2.15056,2.14318,2.08473,1.73892,1.4591
brb,Barbados,0.59068,0.10417,0.52468,0.09497,0.1585,0.26235,0.18047,0.11908,0.08059,0.15543,0.07697,0.07825,0.07742,0.07642,0.07111,0.06969,0.07047,0.06855,0.06395,0.06286,0.06389,0.06261,0.06161,0.06047,0.05937,0.06039,0.05953,0.06018,0.06,0.0602,0.06041,0.05863,0.05662
brn,Brunei,0.45799,0.45971,0.4366,0.41697,0.41423,0.41966,0.42793,0.38693,0.41321,0.46905,0.44228,0.44378,0.46803,0.49104,0.51115,0.52,0.50686,0.53258,0.47777,0.49078,0.53146,0.53241,0.52015,0.5225,0.44487,0.39275,0.35253,0.46688,0.79244,0.73037,0.65817,0.5104,0.52571
btn,Bhutan,48.23496,48.27772,48.28986,48.27366,48.20667,48.09875,47.94397,47.71588,47.52918,47.30962,47.04931,46.7222,46.24195,45.76966,45.17665,44.66301,44.10455,43.4687,42.64174,41.69011,41.76688,41.12935,40.03194,38.86996,35.53214,34.70637,33.43214,32.08001,30.48962,29.94088,28.92069,28.30306,27.58541
bwa,Botswana,0.95881,0.94891,0.93447,0.91849,0.90092,0.84883,0.95285,1.0793,1.1913,1.32429,1.49449,1.68241,1.91547,2.17172,2.44388,2.7462,3.42569,4.31789,5.43768,4.94698,4.47767,4.1821,3.81639,3.65171,3.59179,3.3945,3.31334,3.23005,3.16871,3.17212,2.97163,2.86658,2.79091
caf,Central African Republic,52.71743,52.56939,52.45689,52.22607,52.06375,51.81744,51.54677,51.22811,50.42475,50.11069,49.82131,49.33901,49.20637,48.72097,48.20287,47.79443,47.39911,46.99307,46.54335,45.9849,45.59188,45.10991,43.97959,43.66075,43.43295,43.06244,42.61016,42.04586,41.59347,41.46172,40.47395,39.91346,39.59914
